# Amorphous silicon (a-Si) refractive index
# Source: Pierce & Spicer, Phys. Rev. B 5, 3017-3029 (1972)
# Tabulated data from a 60-nm a-Si film, interpolated to grid
# Data extrapolated 2.066-2.500 um (n flat, k=0 beyond bandgap)
# WARNING: Strongly absorbing for wl < ~900 nm (k > 0.04)
#          Visible-band tiles will have low transmission
#          For a-Si:H (PECVD with H), absorption edge red-shifts slightly
wavelength_nm,n,k
1260.0,3.534203,0.000000e+00
1265.0,3.532754,0.000000e+00
1270.0,3.531304,0.000000e+00
1275.0,3.529855,0.000000e+00
1280.0,3.528406,0.000000e+00
1285.0,3.526957,0.000000e+00
1290.0,3.525507,0.000000e+00
1295.0,3.524058,0.000000e+00
1300.0,3.522609,0.000000e+00
1305.0,3.521159,0.000000e+00
1310.0,3.519710,0.000000e+00
1315.0,3.518261,0.000000e+00
1320.0,3.516812,0.000000e+00
1325.0,3.515362,0.000000e+00
1330.0,3.513913,0.000000e+00
1335.0,3.512464,0.000000e+00
1340.0,3.511014,0.000000e+00
1345.0,3.509565,0.000000e+00
1350.0,3.508116,0.000000e+00
1355.0,3.506667,0.000000e+00
1360.0,3.505217,0.000000e+00
1365.0,3.503768,0.000000e+00
1370.0,3.502319,0.000000e+00
1375.0,3.500870,0.000000e+00
1380.0,3.499767,0.000000e+00
1385.0,3.499186,0.000000e+00
1390.0,3.498605,0.000000e+00
1395.0,3.498023,0.000000e+00
1400.0,3.497442,0.000000e+00
1405.0,3.496860,0.000000e+00
1410.0,3.496279,0.000000e+00
1415.0,3.495698,0.000000e+00
1420.0,3.495116,0.000000e+00
1425.0,3.494535,0.000000e+00
1430.0,3.493953,0.000000e+00
1435.0,3.493372,0.000000e+00
1440.0,3.492791,0.000000e+00
1445.0,3.492209,0.000000e+00
1450.0,3.491628,0.000000e+00
1455.0,3.491047,0.000000e+00
1460.0,3.490465,0.000000e+00
1465.0,3.489884,0.000000e+00
1470.0,3.489302,0.000000e+00
1475.0,3.488721,0.000000e+00
1480.0,3.488140,0.000000e+00
1485.0,3.487558,0.000000e+00
1490.0,3.486977,0.000000e+00
1495.0,3.486395,0.000000e+00
1500.0,3.485814,0.000000e+00
1505.0,3.485233,0.000000e+00
1510.0,3.484651,0.000000e+00
1515.0,3.484070,0.000000e+00
1520.0,3.483488,0.000000e+00
1525.0,3.482907,0.000000e+00
1530.0,3.482326,0.000000e+00
1535.0,3.481744,0.000000e+00
1540.0,3.481163,0.000000e+00
1545.0,3.480581,0.000000e+00
1550.0,3.480000,0.000000e+00
1555.0,3.479321,0.000000e+00
1560.0,3.478643,0.000000e+00
1565.0,3.477964,0.000000e+00
1570.0,3.477285,0.000000e+00
1575.0,3.476606,0.000000e+00
1580.0,3.475928,0.000000e+00
1585.0,3.475249,0.000000e+00
1590.0,3.474570,0.000000e+00
1595.0,3.473891,0.000000e+00
1600.0,3.473213,0.000000e+00
1605.0,3.472534,0.000000e+00
1610.0,3.471855,0.000000e+00
1615.0,3.471176,0.000000e+00
1620.0,3.470498,0.000000e+00
1625.0,3.469819,0.000000e+00
1630.0,3.469140,0.000000e+00
1635.0,3.468462,0.000000e+00
1640.0,3.467783,0.000000e+00
1645.0,3.467104,0.000000e+00
1650.0,3.466425,0.000000e+00
1655.0,3.465747,0.000000e+00
1660.0,3.465068,0.000000e+00
1665.0,3.464389,0.000000e+00
1670.0,3.463710,0.000000e+00
1675.0,3.463032,0.000000e+00
1680.0,3.462353,0.000000e+00
1685.0,3.461674,0.000000e+00
1690.0,3.460995,0.000000e+00
1695.0,3.460317,0.000000e+00
1700.0,3.459638,0.000000e+00
1705.0,3.458959,0.000000e+00
1710.0,3.458281,0.000000e+00
1715.0,3.457602,0.000000e+00
1720.0,3.456923,0.000000e+00
1725.0,3.456244,0.000000e+00
1730.0,3.455566,0.000000e+00
1735.0,3.454887,0.000000e+00
1740.0,3.454208,0.000000e+00
1745.0,3.453529,0.000000e+00
1750.0,3.452851,0.000000e+00
1755.0,3.452172,0.000000e+00
1760.0,3.451493,0.000000e+00
1765.0,3.450814,0.000000e+00
1770.0,3.450136,0.000000e+00
1775.0,3.449864,0.000000e+00
1780.0,3.449695,0.000000e+00
1785.0,3.449525,0.000000e+00
1790.0,3.449356,0.000000e+00
1795.0,3.449186,0.000000e+00
1800.0,3.449017,0.000000e+00
1805.0,3.448847,0.000000e+00
1810.0,3.448678,0.000000e+00
1815.0,3.448508,0.000000e+00
1820.0,3.448339,0.000000e+00
1825.0,3.448169,0.000000e+00
1830.0,3.448000,0.000000e+00
1835.0,3.447831,0.000000e+00
1840.0,3.447661,0.000000e+00
1845.0,3.447492,0.000000e+00
1850.0,3.447322,0.000000e+00
1855.0,3.447153,0.000000e+00
1860.0,3.446983,0.000000e+00
1865.0,3.446814,0.000000e+00
1870.0,3.446644,0.000000e+00
1875.0,3.446475,0.000000e+00
1880.0,3.446305,0.000000e+00
1885.0,3.446136,0.000000e+00
1890.0,3.445966,0.000000e+00
1895.0,3.445797,0.000000e+00
1900.0,3.445627,0.000000e+00
1905.0,3.445458,0.000000e+00
1910.0,3.445288,0.000000e+00
1915.0,3.445119,0.000000e+00
1920.0,3.444949,0.000000e+00
1925.0,3.444780,0.000000e+00
1930.0,3.444610,0.000000e+00
1935.0,3.444441,0.000000e+00
1940.0,3.444271,0.000000e+00
1945.0,3.444102,0.000000e+00
1950.0,3.443932,0.000000e+00
1955.0,3.443763,0.000000e+00
1960.0,3.443593,0.000000e+00
1965.0,3.443424,0.000000e+00
1970.0,3.443254,0.000000e+00
1975.0,3.443085,0.000000e+00
1980.0,3.442915,0.000000e+00
1985.0,3.442746,0.000000e+00
1990.0,3.442576,0.000000e+00
1995.0,3.442407,0.000000e+00
2000.0,3.442237,0.000000e+00
