# Silicon nitride (Si3N4, stoichiometric LPCVD) refractive index
# Source: Luke et al., Opt. Lett. 40, 4823-4826 (2015)
# Sellmeier formula valid 0.310-5.504 um
# k assumed = 0 (negligible absorption in VNIR-SWIR for stoichiometric Si3N4)
# NOTE: PECVD Si3N4 has hydrogen content and typically n ~ 1.85-1.95 (lower)
wavelength_nm,n,k
1270.0,2.004332,0.000000e+00
1275.0,2.004180,0.000000e+00
1280.0,2.004029,0.000000e+00
1285.0,2.003878,0.000000e+00
1290.0,2.003728,0.000000e+00
1295.0,2.003578,0.000000e+00
1300.0,2.003428,0.000000e+00
1305.0,2.003279,0.000000e+00
1310.0,2.003130,0.000000e+00
1315.0,2.002982,0.000000e+00
1320.0,2.002833,0.000000e+00
1325.0,2.002686,0.000000e+00
1330.0,2.002539,0.000000e+00
1335.0,2.002392,0.000000e+00
1340.0,2.002245,0.000000e+00
1345.0,2.002099,0.000000e+00
1350.0,2.001953,0.000000e+00
1355.0,2.001807,0.000000e+00
1360.0,2.001662,0.000000e+00
1365.0,2.001517,0.000000e+00
1370.0,2.001372,0.000000e+00
1375.0,2.001227,0.000000e+00
1380.0,2.001083,0.000000e+00
1385.0,2.000939,0.000000e+00
1390.0,2.000795,0.000000e+00
1395.0,2.000652,0.000000e+00
1400.0,2.000508,0.000000e+00
1405.0,2.000365,0.000000e+00
1410.0,2.000222,0.000000e+00
1415.0,2.000080,0.000000e+00
1420.0,1.999937,0.000000e+00
1425.0,1.999795,0.000000e+00
1430.0,1.999653,0.000000e+00
1435.0,1.999511,0.000000e+00
1440.0,1.999369,0.000000e+00
1445.0,1.999228,0.000000e+00
1450.0,1.999086,0.000000e+00
1455.0,1.998945,0.000000e+00
1460.0,1.998804,0.000000e+00
1465.0,1.998663,0.000000e+00
1470.0,1.998522,0.000000e+00
1475.0,1.998381,0.000000e+00
1480.0,1.998240,0.000000e+00
1485.0,1.998100,0.000000e+00
1490.0,1.997959,0.000000e+00
1495.0,1.997819,0.000000e+00
1500.0,1.997679,0.000000e+00
1505.0,1.997539,0.000000e+00
1510.0,1.997398,0.000000e+00
1515.0,1.997258,0.000000e+00
1520.0,1.997118,0.000000e+00
1525.0,1.996979,0.000000e+00
1530.0,1.996839,0.000000e+00
1535.0,1.996699,0.000000e+00
1540.0,1.996559,0.000000e+00
1545.0,1.996419,0.000000e+00
1550.0,1.996280,0.000000e+00
1555.0,1.996140,0.000000e+00
1560.0,1.996000,0.000000e+00
1565.0,1.995861,0.000000e+00
1570.0,1.995721,0.000000e+00
1575.0,1.995582,0.000000e+00
1580.0,1.995442,0.000000e+00
1585.0,1.995303,0.000000e+00
1590.0,1.995163,0.000000e+00
1595.0,1.995024,0.000000e+00
1600.0,1.994884,0.000000e+00
1605.0,1.994744,0.000000e+00
1610.0,1.994605,0.000000e+00
1615.0,1.994465,0.000000e+00
1620.0,1.994326,0.000000e+00
1625.0,1.994186,0.000000e+00
1630.0,1.994046,0.000000e+00
1635.0,1.993906,0.000000e+00
1640.0,1.993767,0.000000e+00
1645.0,1.993627,0.000000e+00
1650.0,1.993487,0.000000e+00
1655.0,1.993347,0.000000e+00
1660.0,1.993207,0.000000e+00
1665.0,1.993067,0.000000e+00
1670.0,1.992927,0.000000e+00
1675.0,1.992787,0.000000e+00
1680.0,1.992647,0.000000e+00
1685.0,1.992506,0.000000e+00
1690.0,1.992366,0.000000e+00
1695.0,1.992226,0.000000e+00
1700.0,1.992085,0.000000e+00
1705.0,1.991944,0.000000e+00
1710.0,1.991804,0.000000e+00
1715.0,1.991663,0.000000e+00
1720.0,1.991522,0.000000e+00
1725.0,1.991381,0.000000e+00
1730.0,1.991240,0.000000e+00
1735.0,1.991099,0.000000e+00
1740.0,1.990957,0.000000e+00
1745.0,1.990816,0.000000e+00
1750.0,1.990675,0.000000e+00
1755.0,1.990533,0.000000e+00
1760.0,1.990391,0.000000e+00
1765.0,1.990249,0.000000e+00
1770.0,1.990107,0.000000e+00
1775.0,1.989965,0.000000e+00
1780.0,1.989823,0.000000e+00
1785.0,1.989681,0.000000e+00
1790.0,1.989538,0.000000e+00
1795.0,1.989396,0.000000e+00
1800.0,1.989253,0.000000e+00
1805.0,1.989110,0.000000e+00
1810.0,1.988967,0.000000e+00
1815.0,1.988824,0.000000e+00
1820.0,1.988681,0.000000e+00
1825.0,1.988537,0.000000e+00
1830.0,1.988394,0.000000e+00
1835.0,1.988250,0.000000e+00
1840.0,1.988106,0.000000e+00
1845.0,1.987962,0.000000e+00
1850.0,1.987818,0.000000e+00
1855.0,1.987673,0.000000e+00
1860.0,1.987529,0.000000e+00
1865.0,1.987384,0.000000e+00
1870.0,1.987239,0.000000e+00
1875.0,1.987094,0.000000e+00
1880.0,1.986949,0.000000e+00
1885.0,1.986804,0.000000e+00
1890.0,1.986658,0.000000e+00
1895.0,1.986513,0.000000e+00
1900.0,1.986367,0.000000e+00
1905.0,1.986221,0.000000e+00
1910.0,1.986074,0.000000e+00
1915.0,1.985928,0.000000e+00
1920.0,1.985781,0.000000e+00
1925.0,1.985635,0.000000e+00
1930.0,1.985488,0.000000e+00
1935.0,1.985340,0.000000e+00
1940.0,1.985193,0.000000e+00
1945.0,1.985046,0.000000e+00
1950.0,1.984898,0.000000e+00
1955.0,1.984750,0.000000e+00
1960.0,1.984602,0.000000e+00
1965.0,1.984453,0.000000e+00
1970.0,1.984305,0.000000e+00
1975.0,1.984156,0.000000e+00
1980.0,1.984007,0.000000e+00
1985.0,1.983858,0.000000e+00
1990.0,1.983709,0.000000e+00
1995.0,1.983559,0.000000e+00
2000.0,1.983410,0.000000e+00
2005.0,1.983260,0.000000e+00
2010.0,1.983109,0.000000e+00
2015.0,1.982959,0.000000e+00
2020.0,1.982808,0.000000e+00
2025.0,1.982658,0.000000e+00
2030.0,1.982507,0.000000e+00
2035.0,1.982355,0.000000e+00
2040.0,1.982204,0.000000e+00
2045.0,1.982052,0.000000e+00
2050.0,1.981900,0.000000e+00
2055.0,1.981748,0.000000e+00
2060.0,1.981596,0.000000e+00
2065.0,1.981443,0.000000e+00
2070.0,1.981291,0.000000e+00
2075.0,1.981138,0.000000e+00
2080.0,1.980984,0.000000e+00
2085.0,1.980831,0.000000e+00
2090.0,1.980677,0.000000e+00
2095.0,1.980523,0.000000e+00
2100.0,1.980369,0.000000e+00
2105.0,1.980215,0.000000e+00
2110.0,1.980060,0.000000e+00
2115.0,1.979905,0.000000e+00
2120.0,1.979750,0.000000e+00
2125.0,1.979595,0.000000e+00
2130.0,1.979439,0.000000e+00
2135.0,1.979283,0.000000e+00
2140.0,1.979127,0.000000e+00
2145.0,1.978971,0.000000e+00
2150.0,1.978814,0.000000e+00
2155.0,1.978658,0.000000e+00
2160.0,1.978501,0.000000e+00
2165.0,1.978343,0.000000e+00
2170.0,1.978186,0.000000e+00
2175.0,1.978028,0.000000e+00
2180.0,1.977870,0.000000e+00
2185.0,1.977712,0.000000e+00
2190.0,1.977553,0.000000e+00
2195.0,1.977394,0.000000e+00
2200.0,1.977235,0.000000e+00
2205.0,1.977076,0.000000e+00
2210.0,1.976917,0.000000e+00
2215.0,1.976757,0.000000e+00
2220.0,1.976597,0.000000e+00
2225.0,1.976436,0.000000e+00
2230.0,1.976276,0.000000e+00
2235.0,1.976115,0.000000e+00
2240.0,1.975954,0.000000e+00
