7355.54473,1.3595186171888,62.991,45.373,44.813,45.851,68.787,67.614
7353.61617,1.35987516465657,62.602,45.087,44.422,45.008,68.417,67.275
7351.6876,1.36023190103997,62.195,44.694,44.2,44.228,67.905,67.202
7349.75904,1.36058882278677,62.034,44.663,44.303,44.254,67.826,67.323
7347.83048,1.36094593189363,62.202,45.04,44.754,44.79,68.148,67.487
7345.90191,1.36130323036127,62.574,45.368,45.124,45.032,68.501,67.848
7343.97335,1.36166071463209,62.783,45.335,45.087,45.028,68.886,68.138
7342.04478,1.36201838856123,62.671,44.911,44.784,45.192,69.212,67.887
7340.11622,1.36237624858752,62.636,44.474,44.5,45.341,69.295,67.617
7338.18765,1.3627342985703,62.779,44.455,44.331,45.158,69.183,67.652
7336.25909,1.36309253494481,62.664,44.76,44.285,44.956,69.02,67.451
7334.33052,1.36345096157461,62.159,45.092,44.394,44.947,68.917,67.168
7332.40196,1.36380957489134,61.617,45.295,44.584,44.925,68.812,67.461
7330.4734,1.36416837690182,61.669,45.34,44.766,45.023,68.712,68.301
7328.54483,1.36452736961698,62.408,45.225,44.849,45.521,68.706,69.055
7326.61627,1.36488654946303,62.844,45.113,44.729,46.035,68.67,69.132
7324.6877,1.36524592031412,62.429,45.182,44.413,46.071,68.528,68.523
7322.75914,1.36560547859287,61.863,45.208,44.03,45.842,68.316,67.809
7320.83057,1.36596522817765,61.75,45.026,43.929,45.634,68.041,67.46
7318.90201,1.36632516548749,61.845,44.821,44.207,45.382,67.914,67.397
7316.97344,1.366685294405,61.751,44.468,44.273,44.986,68.117,67.296
7315.04488,1.36704561134559,61.588,43.835,43.807,44.567,68.338,67.157
7313.11632,1.36740611832631,61.651,43.55,43.566,44.501,68.319,67.432
7311.18775,1.36776681736835,61.879,44.008,43.997,44.943,68.528,68.195
7309.25919,1.36812770488168,62.164,44.673,44.434,45.484,69.23,68.8
7307.33062,1.36848878475954,62.359,44.93,44.321,45.572,69.645,68.711
7305.40206,1.36885005340829,62.113,44.493,43.639,44.867,69.118,68.141
7303.47349,1.36921151472544,61.521,43.831,42.662,43.789,68.074,67.641
7301.54493,1.3695731651137,61.071,43.562,41.849,42.997,67.308,67.49
7299.61636,1.36993500847488,61.035,43.591,41.663,42.672,67.338,67.939
7297.6878,1.37029704120804,61.23,43.718,41.915,42.77,67.775,68.513
7295.75924,1.37065926534056,61.337,43.982,42.034,43.099,67.798,68.182
7293.83067,1.37102168290397,61.363,44.207,42.185,43.374,67.418,67.112
7291.90211,1.37138429029185,61.415,44.175,42.661,43.559,67.235,66.492
7289.97354,1.37174709141674,61.343,43.81,42.966,43.605,67.156,66.423
7288.04498,1.37211008266856,61.108,43.222,42.825,43.391,66.933,66.47
7286.11641,1.37247326796416,60.932,42.917,42.593,43.163,66.994,66.686
7284.18785,1.3728366436898,60.686,43.144,42.356,43.167,67.21,66.842
7282.25928,1.37320021376663,60.246,43.485,42.07,43.133,67.079,66.687
7280.33072,1.37356397457724,60.132,43.576,42.093,42.867,67.119,66.61
7278.40216,1.37392792815944,60.421,43.502,42.369,42.665,67.601,66.801
7276.47359,1.37429207655518,60.403,43.287,42.331,42.549,67.752,66.934
7274.54503,1.37465641614153,59.934,42.997,41.957,42.225,67.333,66.786
7272.61646,1.37502095085047,59.629,42.907,41.718,41.907,67.07,66.432
7270.6879,1.3753856770554,59.718,42.89,41.718,41.907,67.223,66.1
7268.75933,1.37575059869261,59.811,42.686,41.577,42.021,67.344,66.099
7266.83077,1.37611571213182,59.731,42.481,41.171,42.056,67.258,66.268
7264.90221,1.37648101941898,59.745,42.515,41.008,42.127,67.089,66.185
7262.97364,1.3768465226042,59.847,42.495,41.219,42.188,66.853,66.113
7261.04508,1.37721221805168,59.777,42.002,41.167,41.904,66.55,66.373
7259.11651,1.37757810970856,59.712,41.378,40.754,41.289,66.325,66.56
7257.18795,1.37794419393534,59.81,41.211,40.444,40.882,66.228,66.253
7255.25938,1.37831047468354,59.774,41.433,40.35,40.863,66.188,65.797
7253.33082,1.37867694830994,59.633,41.719,40.391,40.991,66.405,65.766
7251.40225,1.37904361877042,59.635,42.015,40.485,41.352,66.966,66.04
7249.47369,1.37941048241807,59.709,42.334,40.578,41.734,67.355,66.159
7247.54513,1.37977754130936,59.918,42.583,40.637,41.751,67.314,66.157
7245.61656,1.38014479750499,60.309,42.542,40.583,41.675,67.238,66.349
7243.688,1.38051224735245,60.402,41.882,40.403,41.603,67.137,66.445
7241.75943,1.3808798948186,60.001,40.971,40.122,41.384,66.832,66.148
7239.83087,1.38124773624719,59.664,40.605,39.814,41.236,66.816,66.089
7237.9023,1.38161577560946,59.424,40.789,39.659,41.177,67.095,66.413
7235.97374,1.38198400924545,59.245,41.35,39.849,41.282,67.14,66.807
7234.04517,1.3823524411308,59.363,41.873,40.102,41.566,66.703,66.98
7232.11661,1.38272106760181,59.368,41.712,39.82,41.619,66.06,66.347
7230.18805,1.38308989072559,58.835,41.137,39.33,41.408,65.803,65.317
7228.25948,1.38345891257352,58.145,40.714,39.173,41.16,65.97,64.958
7226.33092,1.38382812947625,57.864,40.539,39.118,40.793,66.119,65.086
7224.40235,1.38419754542049,58.262,40.647,39.111,40.516,65.95,65.086
7222.47379,1.38456715673315,58.81,40.8,39.174,40.645,65.654,65.164
7220.54522,1.38493696740535,58.879,40.625,38.992,40.881,65.465,65.448
