gen,d1,d2,d3,h1,h2,h3,fitness
100,350.00,311.95,349.51,475.22,244.83,1181.59,0.307899
101,349.74,309.38,349.53,474.65,245.07,1181.66,0.307881
102,349.96,309.44,349.50,474.15,248.01,1182.68,0.308072
103,349.66,311.16,349.55,473.84,243.17,1180.55,0.307648
104,349.94,310.24,349.54,473.49,246.93,1179.43,0.307880
105,349.91,311.45,349.68,473.37,244.56,1181.30,0.307522
106,349.74,312.13,349.66,474.13,243.77,1178.66,0.307806
107,349.54,309.52,349.58,474.10,246.04,1179.16,0.307681
108,349.64,311.12,349.62,473.89,244.45,1180.40,0.307652
109,349.66,311.18,349.71,473.38,245.82,1180.31,0.307468
110,349.51,310.95,349.59,473.96,243.68,1179.79,0.307545
111,349.83,311.92,349.70,473.44,245.00,1178.91,0.307440
112,349.64,310.91,349.65,473.50,245.10,1178.41,0.307374
113,349.75,310.16,349.60,473.52,245.76,1178.56,0.307475
114,349.67,309.45,349.64,473.36,246.18,1178.08,0.307414
115,349.83,309.46,349.66,473.47,247.91,1179.54,0.307564
116,349.85,310.26,349.65,473.55,246.16,1180.45,0.307485
117,349.86,312.13,349.69,473.72,242.78,1180.67,0.307461
118,349.81,311.33,349.68,473.52,243.90,1180.50,0.307421
119,349.73,312.46,349.69,473.40,242.58,1180.36,0.307414
120,349.71,312.85,349.67,473.66,239.99,1180.51,0.307536
121,349.73,311.82,349.71,473.43,242.91,1180.63,0.307433
122,349.78,310.76,349.67,473.48,246.28,1180.48,0.307464
123,349.83,310.66,349.74,473.57,245.23,1181.18,0.307490
124,349.85,312.16,349.75,473.69,243.77,1180.63,0.307418
125,349.91,312.93,349.78,473.52,243.68,1179.43,0.307392
126,349.76,314.54,349.81,473.51,239.07,1180.65,0.307385
127,349.84,313.14,349.75,473.49,244.22,1178.71,0.307340
128,349.86,314.18,349.83,473.65,241.94,1180.18,0.307350
129,349.67,313.47,349.78,473.58,242.21,1179.57,0.307361
130,349.88,313.84,349.83,473.65,241.80,1180.64,0.307361
131,349.74,313.02,349.78,473.51,243.68,1180.13,0.307349
132,349.77,312.73,349.76,473.42,244.17,1180.45,0.307369
133,349.82,313.49,349.76,473.47,243.50,1180.66,0.307275
134,349.84,313.98,349.83,473.48,242.58,1180.56,0.307268
135,349.76,313.99,349.82,473.58,242.75,1181.09,0.307297
136,349.85,313.19,349.79,473.48,244.20,1180.58,0.307272
